tier,herb_family,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
family,Fabaceae,P-gp_inhibition,6,7.387706855791962,125,50,846,0.7757830404889229,0.8281227962954257,-0.2720833845648202,0.6842533567943117,1.0,ns
family,Lamiaceae,receptor_antagonism,2,1.7198581560283688,97,15,846,1.1919028340080973,1.428155904595695,0.5141534797239943,0.686540988051289,1.0,ns
family,Schisandraceae,signaling_pathway_modulation,2,1.8439716312056738,52,30,846,1.0942857142857143,1.3314226159458051,0.4129685796296035,0.7062473431037254,1.0,ns
family,Menispermaceae,CYP_induction,1,2.2174940898345152,14,134,846,0.4042799305957201,0.5821889305035373,-0.780440685965113,0.7095563374258456,1.0,ns
family,Hypericaceae,signaling_pathway_modulation,1,2.0921985815602837,59,30,846,0.450653983353151,0.6592785745328118,-0.6010398979770561,0.7156630160529471,1.0,ns
family,Polygonaceae,absorption_alteration,1,2.3356973995271866,38,52,846,0.40116587175410706,0.5883495145631068,-0.7652546385976298,0.7242679588322113,1.0,ns
family,Rutaceae,receptor_synergism,3,2.482269503546099,20,105,846,1.2525951557093427,1.4136585365853658,0.4994336851641209,0.7282278533075551,1.0,ns
family,Animal_derived,CYP_inhibition,2,2.9078014184397163,10,246,846,0.6065573770491803,0.7127390833634067,-0.4885540575295893,0.7321080779794931,1.0,ns
family,Araliaceae,organ_toxicity_modulation,3,2.5721040189125297,64,34,846,1.1914331041776838,1.3577235772357723,0.4411897871348123,0.7374937155836869,1.0,ns
family,Schisandraceae,UGT_inhibition,3,2.5815602836879434,52,42,846,1.185243328100471,1.3523846055491626,0.43550549896572077,0.7385714122538158,1.0,ns
